Brand,Model,Battery,Acceleration(0-100km/h) Time,Top_Speed,Range(km),Efficiency(Wh/km),Fastcharge,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value
BMW,i5 xDrive40 Sedan,81.2,5.4,215,455,178,730,All Wheel Drive,Towbar possible,2000,5,44819
NISSAN,Ariya e-4ORCE 87kWh - 225 kW,87.0,5.7,200,405,215,480,All Wheel Drive,Towbar possible,1500,5,63352
MERCEDES-BENZ,EQE 350 4MATIC,89.0,6.3,210,510,175,640,All Wheel Drive,Towbar possible,750,5,48191
MERCEDES-BENZ,EQS AMG 53 4MATIC+,108.4,3.4,250,535,203,800,All Wheel Drive,Towbar possible,750,5,97109
AUDI,Q4 Sportback e-tron 55 quattro,77.0,5.4,180,415,186,620,All Wheel Drive,Towbar possible,1200,5,73046
MERCEDES-BENZ,EQS SUV 450 4MATIC,118.0,6.1,210,530,223,670,All Wheel Drive,Towbar possible,1800,7,161319
MERCEDES-BENZ,EQA 300 4MATIC,66.5,7.7,160,350,190,500,All Wheel Drive,Towbar possible,1800,5,32938
NISSAN,Ariya e-4ORCE 87kWh - 290 kW,87.0,5.1,200,405,215,480,All Wheel Drive,Towbar possible,1500,5,36307
MERCEDES-BENZ,EQE 350,89.0,6.4,210,515,173,650,Rear Wheel Drive,Towbar possible,750,5,96371
MERCEDES-BENZ,EQE SUV 350+,96.0,6.9,210,475,202,660,Rear Wheel Drive,Towbar possible,750,5,51368
MERCEDES-BENZ,EQE AMG 43 4MATIC,90.6,4.2,210,450,201,670,All Wheel Drive,Towbar possible,750,5,62049
FORD,Mustang Mach-E SR AWD,72.6,6.2,180,350,207,430,All Wheel Drive,Towbar possible,750,5,33184
MERCEDES-BENZ,EQS 500 4MATIC,108.4,4.8,210,590,184,880,All Wheel Drive,Towbar possible,750,5,81223
MERCEDES-BENZ,EQE SUV 500 4MATIC,96.0,4.9,210,455,211,630,All Wheel Drive,Towbar possible,1800,5,65226
MERCEDES-BENZ,EQE AMG 53 4MATIC+,90.6,3.5,220,450,201,670,All Wheel Drive,Towbar possible,750,5,142978
BMW,i5 M60 xDrive Touring,81.2,3.9,230,415,196,670,All Wheel Drive,Towbar possible,2000,5,124593
MERCEDES-BENZ,EQA 350 4MATIC,66.5,6.0,160,350,190,500,All Wheel Drive,Towbar possible,1800,5,67919
AUDI,Q4 Sportback e-tron 45 quattro,77.0,6.6,180,415,186,620,All Wheel Drive,Towbar possible,1200,5,66879
MERCEDES-BENZ,EQE 500 4MATIC,90.6,4.7,210,505,179,750,All Wheel Drive,Towbar possible,750,5,63401
MERCEDES-BENZ,EQT 200 Standard,45.0,12.6,132,225,200,230,Front Wheel Drive,Towbar possible,1500,5,26677
MERCEDES-BENZ,EQE SUV 300,90.6,7.6,210,450,201,570,Rear Wheel Drive,Towbar possible,750,5,46636
AUDI,SQ8 e-tron Sportback,106.0,4.5,210,480,221,610,All Wheel Drive,Towbar possible,1800,5,124600
MERCEDES-BENZ,EQE SUV AMG 53 4MATIC+,90.6,3.5,240,410,221,610,All Wheel Drive,Towbar possible,1800,5,83680
AUDI,Q8 e-tron Sportback 50 quattro,89.0,6.0,200,445,200,690,All Wheel Drive,Towbar possible,1800,5,87593
MERCEDES-BENZ,EQS SUV 500 4MATIC,118.0,5.3,210,530,223,670,All Wheel Drive,Towbar possible,1800,7,82778
MERCEDES-BENZ,eVito Tourer Long 90 kWh,90.0,12.1,160,320,281,320,Front Wheel Drive,Towbar not possible,0,8,47359
MERCEDES-BENZ,EQE SUV AMG 43 4MATIC,90.6,4.3,210,415,218,620,All Wheel Drive,Towbar possible,1800,5,73067
MERCEDES-BENZ,EQV 250 Extra-Long,60.0,12.0,160,210,286,200,Front Wheel Drive,Towbar not possible,0,7,80790
MERCEDES-BENZ,EQV 250 Long,60.0,12.0,160,215,279,200,Front Wheel Drive,Towbar not possible,0,7,79798
MERCEDES-BENZ,eVito Tourer Long 60 kWh,60.0,12.0,160,220,273,210,Front Wheel Drive,Towbar not possible,0,8,72501
MERCEDES-BENZ,eVito Tourer Extra-Long 60 kWh,60.0,12.0,160,215,279,200,Front Wheel Drive,Towbar not possible,0,8,73467
